"presence","longitude","latitude","wc2.1_2.5m_bio_1","wc2.1_2.5m_bio_10","wc2.1_2.5m_bio_11","wc2.1_2.5m_bio_12","wc2.1_2.5m_bio_13","wc2.1_2.5m_bio_14","wc2.1_2.5m_bio_15","wc2.1_2.5m_bio_16","wc2.1_2.5m_bio_17","wc2.1_2.5m_bio_18","wc2.1_2.5m_bio_19","wc2.1_2.5m_bio_2","wc2.1_2.5m_bio_3","wc2.1_2.5m_bio_4","wc2.1_2.5m_bio_5","wc2.1_2.5m_bio_6","wc2.1_2.5m_bio_7","wc2.1_2.5m_bio_8","wc2.1_2.5m_bio_9","land_cover","species"
1,-123.0879879,45.507174,11.2323331832886,18.1153335571289,4.82800006866455,1167,203,14,70.578971862793,572,70,74,541,11.7693338394165,44.4729957580566,545.56591796875,27.2080001831055,0.744000017642975,26.4640007019043,5.1473331451416,17.966667175293,"13","Red-tailed Hawk"
1,-122.8207541,45.7144802,11.2986669540405,17.8306674957275,4.96199989318848,1115,178,19,61.5520248413086,513,86,90,476,10.9126663208008,43.3592910766602,529.610229492188,26.0480003356934,0.879999995231628,25.1680011749268,5.36933326721191,17.7906665802002,"10","Red-tailed Hawk"
1,-123.021792,45.104299,11.4723329544067,18.1879997253418,5.17999982833862,995,175,12,69.1823806762695,485,60,65,452,11.7980003356934,44.9344902038574,534.857238769531,27.3479995727539,1.09200000762939,26.2560005187988,5.54200029373169,18.0873336791992,"12","Red-tailed Hawk"
1,-122.753008,43.918044,11.2808332443237,18.1133327484131,5.18333339691162,1336,207,19,59.1646766662598,597,104,104,536,11.8143329620361,44.2683334350586,532.151977539062,27.6040000915527,0.916000008583069,26.6879997253418,5.48799991607666,17.9099998474121,"9","Red-tailed Hawk"
1,-117.2755279,45.3740191,5.53183317184448,14.5113334655762,-3.21066665649414,406,53,20,27.3401794433594,134,73,99,103,15.4763336181641,43.5462379455566,719.454284667969,26.488000869751,-9.05200004577637,35.5400009155273,8.63599967956543,14.0853328704834,"12","Red-tailed Hawk"
1,-119.9449925,44.5869421,6.66050004959106,15.3393335342407,-1.46466684341431,434,55,17,33.128719329834,159,61,74,140,15.2896671295166,43.8350524902344,688.372497558594,27.5799999237061,-7.30000019073486,34.8800010681152,-0.826000094413757,15.2906665802002,"10","Red-tailed Hawk"
1,-123.131157,43.954799,10.8830003738403,17.5459995269775,4.88466644287109,1455,240,17,67.4943542480469,697,90,96,632,11.8479995727539,44.8108940124512,517.034851074219,27.0279998779297,0.587999999523163,26.4400005340576,5.30000019073486,17.2593326568604,"1","Red-tailed Hawk"
1,-123.1942306,45.2843996,11.2841663360596,18.1106662750244,5.05533361434937,1092,195,12,72.5282974243164,540,56,65,515,12.0436668395996,45.1750450134277,532.953002929688,27.6560001373291,0.995999991893768,26.6599998474121,5.43133354187012,17.8540000915527,"12","Red-tailed Hawk"
1,-122.490436,45.246236,10.7781667709351,17.6319999694824,4.61599969863892,1672,259,26,58.6171379089355,744,130,132,687,10.5789995193481,41.7548141479492,535.499389648438,26.0359992980957,0.699999988079071,25.3359985351562,4.93333339691162,17.4333324432373,"1","Red-tailed Hawk"
1,-121.7121005,44.2231943,4.4941668510437,12.3699998855591,-2.12800002098083,1335,230,24,66.0632629394531,647,107,109,605,13.1383333206177,43.6257591247559,600.326599121094,22.9160003662109,-7.19999980926514,30.1160011291504,-1.45466673374176,12.0853328704834,"10","Red-tailed Hawk"
1,-124.063915,44.5778647,10.505786895752,14.6750001907349,6.67870378494263,1837,308,26,66.1276016235352,864,120,122,811,7.90138912200928,48.5741119384766,326.731658935547,19.283332824707,3.01666665077209,16.2666664123535,7.09537029266357,14.2796297073364,"11","Red-tailed Hawk"
1,-121.8243187,42.1268766,8.24433326721191,17.2553329467773,-0.247333332896233,360,52,8,49.8792419433594,155,37,41,138,15.6479997634888,44.1934013366699,719.498657226562,28.8839988708496,-6.52400016784668,35.4079971313477,0.253333359956741,17.1673336029053,"12","Red-tailed Hawk"
1,-123.864784,45.569038,9.61050033569336,14.2919998168945,5.86666679382324,2495,398,40,63.3665885925293,1146,170,183,1068,9.41166687011719,51.1170234680176,351.137573242188,20.2840003967285,1.87199997901917,18.4120006561279,6.13199996948242,13.7993335723877,"2","Red-tailed Hawk"
1,-117.4961884,44.9725862,5.33049964904785,14.5933332443237,-3.48933339118958,433,53,18,28.7567024230957,146,68,88,136,15.0509996414185,42.0795135498047,741.390441894531,26.507999420166,-9.26000022888184,35.7679977416992,-2.66400003433228,14.4733333587646,"8","Red-tailed Hawk"
1,-123.243572,44.716272,11.3648328781128,18.3266677856445,5.08200025558472,1198,213,15,70.8693084716797,589,70,75,553,12.0170001983643,44.6065330505371,539.227844238281,28.0400009155273,1.10000002384186,26.9400005340576,5.46933317184448,17.9566669464111,"12","Red-tailed Hawk"
1,-122.5574231,45.5146207,11.9488334655762,19.2653331756592,5.20666646957397,1209,188,22,57.2562561035156,538,101,105,497,11.1536664962769,41.8744087219238,578.192321777344,27.7999992370605,1.16400003433228,26.6359996795654,5.56066656112671,19.1193332672119,"13","Red-tailed Hawk"
1,-123.7375824,45.4348315,10.0948333740234,15.1713333129883,5.78599977493286,2261,367,36,64.0577697753906,1046,153,166,979,10.2349996566772,49.926830291748,387.422546386719,22.1079998016357,1.60800004005432,20.5,6.06400012969971,14.7326669692993,"5","Red-tailed Hawk"
