"variable","mean_abs_shap","species"
"wc2.1_2.5m_bio_13",0.0124294673152617,"Spotted Towhee"
"wc2.1_2.5m_bio_14",0.00840285782067804,"Spotted Towhee"
"land_cover",0.716601522682235,"Western Meadowlark"
"wc2.1_2.5m_bio_12",0.435146744668484,"Western Meadowlark"
"wc2.1_2.5m_bio_2",0.14272047400428,"Western Meadowlark"
"wc2.1_2.5m_bio_5",0.120141037645168,"Western Meadowlark"
"wc2.1_2.5m_bio_4",0.0877455057424959,"Western Meadowlark"
"wc2.1_2.5m_bio_10",0.0840640160334297,"Western Meadowlark"
"wc2.1_2.5m_bio_13",0.0826706602102495,"Western Meadowlark"
"wc2.1_2.5m_bio_14",0.0818429083251394,"Western Meadowlark"
"wc2.1_2.5m_bio_18",0.073475349287648,"Western Meadowlark"
"wc2.1_2.5m_bio_6",0.072589114486007,"Western Meadowlark"
"wc2.1_2.5m_bio_15",0.0677985279057757,"Western Meadowlark"
"wc2.1_2.5m_bio_8",0.0668969315916765,"Western Meadowlark"
"wc2.1_2.5m_bio_3",0.0623649776569218,"Western Meadowlark"
"wc2.1_2.5m_bio_7",0.0548843090073206,"Western Meadowlark"
"wc2.1_2.5m_bio_1",0.0485602611045397,"Western Meadowlark"
"wc2.1_2.5m_bio_9",0.0464638723977841,"Western Meadowlark"
"wc2.1_2.5m_bio_11",0.0432508325178642,"Western Meadowlark"
"wc2.1_2.5m_bio_19",0.0410630993358209,"Western Meadowlark"
"wc2.1_2.5m_bio_17",0.0325935478574829,"Western Meadowlark"
"wc2.1_2.5m_bio_16",0.0278207275471068,"Western Meadowlark"
