"variable","mean_abs_shap","species"
"bio5_max_temp_warmest_month",0.111313064032467,"Western Meadowlark"
"bio4_temp_seasonality",0.103561092618795,"Western Meadowlark"
"bio10_mean_temp_warmest_quarter",0.0888238598748285,"Western Meadowlark"
"bio13_precip_wettest_month",0.0806935414341278,"Western Meadowlark"
"bio18_precip_warmest_quarter",0.0770723873841926,"Western Meadowlark"
"bio3_isothermality",0.0666038383704727,"Western Meadowlark"
"bio14_precip_driest_month",0.0647600325603853,"Western Meadowlark"
"bio15_precip_seasonality",0.0643375138269039,"Western Meadowlark"
"bio6_min_temp_coldest_month",0.0630165670751594,"Western Meadowlark"
"bio8_mean_temp_wettest_quarter",0.0581510103013134,"Western Meadowlark"
"bio7_temp_annual_range",0.0541997056859545,"Western Meadowlark"
"bio11_mean_temp_coldest_quarter",0.0532239053623634,"Western Meadowlark"
"bio1_annual_mean_temp",0.0524935018943506,"Western Meadowlark"
"bio17_precip_driest_quarter",0.0435673280452902,"Western Meadowlark"
"bio9_mean_temp_driest_quarter",0.0409829478641041,"Western Meadowlark"
"bio19_precip_coldest_quarter",0.0374746427833161,"Western Meadowlark"
"bio16_precip_wettest_quarter",0.0307767356445547,"Western Meadowlark"
